Website Principal,Principal Slug,Website Category,Comparison Status,Matched Sheet Category,Match Basis,Confidence %,Sheet Principal
Advion Interchim Scientific,advion-interchim-scientific,AVANT (U)HPLC,Missing from Sheet,Chromatography Systems (Analytical & Preparative),No sufficiently close match,26,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,Expression CMS,Missing from Sheet,Fraction Collectors,No sufficiently close match,38,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,Flash Purification Systems,Missing from Sheet,Flash Chromatography Systems,No sufficiently close match,53,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,Peripheral Production Devices,Missing from Sheet,Fraction Collectors,No sufficiently close match,43,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,Plate Express,Missing from Sheet,LC-MS Systems,No sufficiently close match,33,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,Preparative Purification Systems,Missing from Sheet,Preparative Chromatography Systems,No sufficiently close match,64,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,Solation ICP-MS,Missing from Sheet,LC-MS Systems,No sufficiently close match,50,Advion Interchim Scientific
Advion Interchim Scientific,advion-interchim-scientific,TriVersa NanoMate,Missing from Sheet,Preparative Chromatography Systems,No sufficiently close match,42,Advion Interchim Scientific
Affinite Instruments,affinite,Compact Surface Plasmon Resonance (SPR) Systems,Present in Sheet,Compact Surface Plasmon Resonance (SPR) Systems,Exact/normalized match,100,Affinite Instruments
Affinite Instruments,affinite,SPR Instrument Control and Analysis Software,Missing from Sheet,Compact Surface Plasmon Resonance (SPR) Systems,No sufficiently close match,9,Affinite Instruments
Ametek Brookfield,ametek-brookfield,Laboratory Viscometers,Missing from Sheet,Rheometers,No sufficiently close match,47,Brookfield
Ametek Brookfield,ametek-brookfield,Moisture Analyzers,Missing from Sheet,Viscometers (Rotational / Viscosity),No sufficiently close match,42,Brookfield
Ametek Brookfield,ametek-brookfield,Powder Flow Testers,Missing from Sheet,Rheometers,No sufficiently close match,37,Brookfield
Ametek Brookfield,ametek-brookfield,Rheometers,Present in Sheet,Rheometers,Exact/normalized match,100,Brookfield
Ametek Brookfield,ametek-brookfield,Software / Data Analysis,Missing from Sheet,Viscometers (Rotational / Viscosity),No sufficiently close match,46,Brookfield
Ametek Brookfield,ametek-brookfield,Texture Analyzers,Missing from Sheet,Viscometers (Rotational / Viscosity),No sufficiently close match,34,Brookfield
Bandelin,bandelin,Ultrasonic Baths,Present in Sheet,Ultrasonic Baths,Exact/normalized match,100,Bandelin
Bruker,bruker,FT-IR Gas Analyzer,Present in Sheet,Gas Analyzers,Close wording match,80,Bruker
Bruker,bruker,FT-IR Microscopes,Present in Sheet,FT-IR Microscopes,Exact/normalized match,100,Bruker
Bruker,bruker,FT-IR Research Spectrometers,Present in Sheet,FT-IR Spectrometers,Close wording match,80,Bruker
Bruker,bruker,FT-IR Spectrometer,Present in Sheet,FT-IR Spectrometers,Exact/normalized match,100,Bruker
Bruker,bruker,FT-NIR Spectrometer,Present in Sheet,FT-NIR Spectrometers,Exact/normalized match,100,Bruker
Bruker,bruker,Process Monitoring Spectrometer,Present in Sheet,Process Monitoring Systems,Close wording match,78,Bruker
Bruker,bruker,Raman Microscopes,Missing from Sheet,FT-IR Microscopes,No sufficiently close match,75,Bruker
Bruker,bruker,Raman Spectrometer,Present in Sheet,Handheld Raman Spectrometers,Close wording match,80,Bruker
Buchi,buchi,Freeze Dryer (Lyophilizer),Present in Sheet,Freeze Dryer (Lyophilizer),Exact/normalized match,100,Buchi
BWB Technologies,bwb-technologies,Flame Photometers,Present in Sheet,Flame Photometers,Exact/normalized match,100,BWB Technologies
Chemspeed,chemspeed,Automated Extraction (QuEChERS),Missing from Sheet,Automated Laboratory Platforms,No sufficiently close match,56,Chemspeed
Chemspeed,chemspeed,Automated Synthesis for Innovative Medicines,Missing from Sheet,Automated Laboratory Platforms,No sufficiently close match,45,Chemspeed
Chemspeed,chemspeed,Crystal Benchtop Solution,Missing from Sheet,Automated Powder Dispensing Systems,No sufficiently close match,27,Chemspeed
Dara-Lyo,daralyo,Pilot Freeze Dryers,Present in Sheet,Pilot Freeze Dryers,Exact/normalized match,100,Dara-Lyo
ECOM,ecom,Columns for Preparative Chromatography,Missing from Sheet,Preparative HPLC Systems (Entry-Level Scale-Up),No sufficiently close match,43,ECOM
ECOM,ecom,PLC Industrial Systems,Missing from Sheet,Preparative HPLC Systems (Entry-Level Scale-Up),No sufficiently close match,35,ECOM
Evonik,evonik,Liposome Extrusion Systems,Present in Sheet,Liposome Extrusion Systems,Exact/normalized match,100,Evonik
FOM Technologies,fom-technologies,Roll-to-Roll Slot-Die Coating Systems,Present in Sheet,Roll-to-Roll Slot-Die Coating Systems,Exact/normalized match,100,FOM Technologies
FOM Technologies,fom-technologies,Sheet-Based Slot-Die Coating Systems,Present in Sheet,Sheet-Based Slot-Die Coating Systems,Exact/normalized match,100,FOM Technologies
FOM Technologies,fom-technologies,Slot-Die Coating Heads (PEEK Series),Present in Sheet,Slot-Die Coating Heads (PEEK Series),Exact/normalized match,100,FOM Technologies
FOM Technologies,fom-technologies,Slot-Die Coating Heads (Steel Series),Present in Sheet,Slot-Die Coating Heads (Steel Series),Exact/normalized match,100,FOM Technologies
GEA,gea,Industrial Homogenizers,Missing from Sheet,Pilot & Production Homogenizers,No sufficiently close match,67,Gea
GEA,gea,Laboratory Homogenizers,Missing from Sheet,Pilot & Production Homogenizers,No sufficiently close match,63,Gea
GEA,gea,Skid-Mounted Homogenizers,Missing from Sheet,Pilot & Production Homogenizers,No sufficiently close match,64,Gea
Heidolph,heidolph,Large Scale Rotary Evaporators,Missing from Sheet,Rotary Evaporators,No sufficiently close match,74,Heidolph
Heidolph,heidolph,Magnetic Stirrers,Present in Sheet,Magnetic Stirrers,Exact/normalized match,100,Heidolph
Heidolph,heidolph,Overhead Stirrers,Present in Sheet,Overhead Stirrers,Exact/normalized match,100,Heidolph
Heidolph,heidolph,Peristaltic Pumps,Present in Sheet,Peristaltic Pumps,Exact/normalized match,100,Heidolph
Heidolph,heidolph,Rotary Evaporators,Present in Sheet,Rotary Evaporators,Exact/normalized match,100,Heidolph
