Principal,Website Category,Website JSON File,Present on Website,Excel Sheet Status,Matched Excel Category,Confidence %
Advion Interchim Scientific,AVANT (U)HPLC,avant-u-hplc.json,Yes,Missing from Sheet,Rotary Vane Vacuum Pumps,46
Advion Interchim Scientific,Expression CMS,expression-cms.json,Yes,Missing from Sheet,Evaporation Systems,48
Advion Interchim Scientific,Flash Purification Systems,flash-purification-systems.json,Yes,Present in Sheet,Solvent Purification Systems,74
Advion Interchim Scientific,Peripheral Production Devices,peripheral-production-devices.json,Yes,Missing from Sheet,Pilot & Production Homogenizers,60
Advion Interchim Scientific,Plate Express,plate-express.json,Yes,Missing from Sheet,Polarimeters,50
Advion Interchim Scientific,Preparative Purification Systems,preparative-purification-systems.json,Yes,Present in Sheet,Preparative HPLC & Purification Systems,84
Advion Interchim Scientific,Solation ICP-MS,solation-icp-ms.json,Yes,Missing from Sheet,LC-MS Systems,50
Advion Interchim Scientific,TriVersa NanoMate,triversa-nanomate.json,Yes,Missing from Sheet,Tri-Gas CO2 incubators,42
Affinite Instruments,Compact Surface Plasmon Resonance (SPR) Systems,compact-surface-plasmon-resonance-spr-systems.json,Yes,Present in Sheet,Compact Surface Plasmon Resonance (SPR) Systems,100
Affinite Instruments,SPR Instrument Control and Analysis Software,spr-instrument-control-and-analysis-software.json,Yes,Missing from Sheet,Automation & Control Systems (PLC / Software Driven),51
Ametek Brookfield,Laboratory Viscometers,laboratory-viscometers.json,Yes,Present in Sheet,Viscometers,100
Ametek Brookfield,Moisture Analyzers,moisture-analyzers.json,Yes,Present in Sheet,Moisture Analyzers,100
Ametek Brookfield,Powder Flow Testers,powder-flow-testers.json,Yes,Missing from Sheet,Flow Chemistry Reactors,50
Ametek Brookfield,Rheometers,rheometers.json,Yes,Present in Sheet,Rheometers,100
Ametek Brookfield,Software / Data Analysis,software-data-analysis.json,Yes,Missing from Sheet,Microbial Analysis Systems,53
Ametek Brookfield,Texture Analyzers,texture-analyzers.json,Yes,Missing from Sheet,Gas Analyzers,60
Bandelin,Ultrasonic Baths,ultrasonic-baths.json,Yes,Present in Sheet,Ultrasonic Baths,100
Bruker,FT-IR Gas Analyzer,ft-ir-gas-analyzer.json,Yes,Present in Sheet,Gas Analyzers,80
Bruker,FT-IR Microscopes,ft-ir-microscopes.json,Yes,Present in Sheet,FT-IR Microscopes,100
Bruker,FT-IR Research Spectrometers,ft-ir-research-spectrometers.json,Yes,Present in Sheet,FT-IR Spectrometers,80
Bruker,FT-IR Spectrometer,ft-ir-spectrometer.json,Yes,Present in Sheet,FT-IR Spectrometers,100
Bruker,FT-NIR Spectrometer,ft-nir-spectrometer.json,Yes,Present in Sheet,FT-NIR Spectrometers,100
Bruker,Process Monitoring Spectrometer,process-monitoring-spectrometer.json,Yes,Present in Sheet,Process Monitoring Systems,78
Bruker,Raman Microscopes,raman-microscopes.json,Yes,Present in Sheet,FT-IR Microscopes,75
Bruker,Raman Spectrometer,raman-spectrometer.json,Yes,Present in Sheet,Handheld Raman Spectrometers,80
Buchi,Freeze Dryer (Lyophilizer),freeze-dryer-lyophilizer.json,Yes,Present in Sheet,Freeze Dryer (Lyophilizer),100
BWB Technologies,Flame Photometers,flame-photometers.json,Yes,Present in Sheet,Flame Photometers,100
Chemspeed,Automated Extraction (QuEChERS),automated-extraction-quechers.json,Yes,Missing from Sheet,Automated Reaction Stations,67
Chemspeed,Automated Synthesis for Innovative Medicines,automated-synthesis-for-innovative-medicines.json,Yes,Missing from Sheet,Automated Laboratory Platforms,50
Chemspeed,Crystal Benchtop Solution,crystal-benchtop-solution.json,Yes,Missing from Sheet,Bacteria Enumeration Systems,49
Dara-Lyo,Pilot Freeze Dryers,pilot-freeze-dryers.json,Yes,Present in Sheet,Pilot Freeze Dryers,100
ECOM,Columns for Preparative Chromatography,columns-for-preparative-chromatography.json,Yes,Present in Sheet,Preparative Chromatography Systems,83
ECOM,PLC Industrial Systems,plc-industrial-systems.json,Yes,Missing from Sheet,CO₂ Incubators,54
FOM Technologies,Roll-to-Roll Slot-Die Coating Systems,slot-die-coating-systems.json,Yes,Present in Sheet,Roll-to-Roll Slot-Die Coating Systems,100
FOM Technologies,Sheet-Based Slot-Die Coating Systems,sheet-based-slot-die-coating-systems.json,Yes,Present in Sheet,Sheet-Based Slot-Die Coating Systems,100
FOM Technologies,Slot-Die Coating Heads (PEEK Series),slot-die-coating-heads-peek-series.json,Yes,Present in Sheet,Slot-Die Coating Heads (PEEK Series),100
FOM Technologies,Slot-Die Coating Heads (Steel Series),slot-die-coating-heads-steel-series.json,Yes,Present in Sheet,Slot-Die Coating Heads (Steel Series),100
GEA,Industrial Homogenizers,industrial-homogenizers.json,Yes,Missing from Sheet,Pilot & Production Homogenizers,67
GEA,Laboratory Homogenizers,laboratory-homogenizers.json,Yes,Missing from Sheet,High-Pressure Homogenizers,61
GEA,Skid-Mounted Homogenizers,skid-mounted-homogenizers.json,Yes,Missing from Sheet,Pilot & Production Homogenizers,64
Heidolph,Large Scale Rotary Evaporators,large-scale-rotary-evaporators.json,Yes,Present in Sheet,Rotary Evaporators,74
Heidolph,Magnetic Stirrers,magnetic-stirrers.json,Yes,Present in Sheet,Magnetic Stirrers,100
Heidolph,Overhead Stirrers,overhead-stirrers.json,Yes,Present in Sheet,Overhead Stirrers,100
Heidolph,Peristaltic Pumps,peristaltic-pumps.json,Yes,Present in Sheet,Peristaltic Pumps,100
Heidolph,Rotary Evaporators,rotary-evaporators.json,Yes,Present in Sheet,Rotary Evaporators,100
Heidolph,Shakers & Mixers,shakers-and-mixers.json,Yes,Missing from Sheet,Overhead Stirrers,50
Heidolph,Vacuum Pumps,vacuum-pumps.json,Yes,Present in Sheet,Oil Vacuum Pumps,85
Hohsen Corp,Equipment For Battery,equipment-for-battery.json,Yes,Missing from Sheet,Environmental Chambers,48
Implen,NanoPhotometer,nanophotometer.json,Yes,Missing from Sheet,Rheometers,60
Implen,OD 600,od-600.json,Yes,Missing from Sheet,BOD Incubators,32
Inkarp USB,Ultrasonic Cleaners & Baths,ultrasonic-cleaners-baths.json,Yes,Present in Sheet,Ultrasonic Cleaners,80
JeioTech,Environmental Chambers,environmental-chambers.json,Yes,Present in Sheet,Environmental Chambers,100
Kubota,General Purpose Centrifuges,general-purpose-centrifuges.json,Yes,Missing from Sheet,Benchtop Centrifuges,62
Kubota,Laboratory Centrifuges,laboratory-centrifuges.json,Yes,Missing from Sheet,Benchtop Centrifuges,69
Kubota,Large Laboratory Centrifuges,large-laboratory-centrifuges.json,Yes,Missing from Sheet,Benchtop Centrifuges,69
Labomatic,Industrial Liquid Chromatography,industrial-liquid-chromatography.json,Yes,Missing from Sheet,Centrifugal Partition Chromatography Systems,71
Labomatic,Liquid Handling,liquid-handling.json,Yes,Missing from Sheet,Liquid Handling & Dispensing Systems,68
Labstation i,Glovebox Workstations,glovebox-workstations.json,Yes,Present in Sheet,Glovebox Workstations,100
Labstation i,Solvent Purification Systems,solvent-purification-systems.json,Yes,Present in Sheet,Solvent Purification Systems,100
Luzchem,Extra Large Photoreactor with Heating,photoreactor-xl.json,Yes,Missing from Sheet,ICH Photoreactors (Pharma Stability Testing Systems) ,56
Luzchem,Laser Flash Photolysis,laser-flash-photolysis.json,Yes,Missing from Sheet,Flame Photometers,49
Luzchem,LED Illuminator,led-illuminator.json,Yes,Missing from Sheet,BOD Incubators,57
Luzchem,Photochemistry / Irradiation,xenon-illuminator.json,Yes,Missing from Sheet,Photochemistry Reactors,71
Luzchem,Photoreactors & Exposure,lzc-photoreactor.json,Yes,Missing from Sheet,Chamber Photoreactors,53
Luzchem,Solar Simulators (300–800 nm),solar-simulators-300-800-nm.json,Yes,Missing from Sheet,Xenon Photoreactors (Solar Simulation Systems),49
Luzchem,Well Plate Illuminator,well-plate-illuminator.json,Yes,Missing from Sheet,Heated Circulators,56
Maccor,Battery And Cell Test Equipment,battery-and-cell-test-equipment.json,Yes,Missing from Sheet,Battery Cell Assembly Systems,58
Mettler Toledo,Density Meter,density-meter.json,Yes,Present in Sheet,Density meters,100
Mettler Toledo,Melting Point Systems,melting-point-systems.json,Yes,Present in Sheet,Melting Point Apparatus,100
Mettler Toledo,Moisture Analyzers,moisture-analyzers.json,Yes,Present in Sheet,Moisture Analyzers,100
Mettler Toledo,pH Meters,ph-meters.json,Yes,Present in Sheet,pH Meters,100
Mettler Toledo,Refractometer,refractometer.json,Yes,Present in Sheet,Refractometers,100
Mettler Toledo,Titrators,titrators.json,Yes,Present in Sheet,Titrators,100
